id,market,algorithm,sym,closed,wins,wr,pnl,bucket
gold_xau_spot_meta_stack__ps,GOLD,meta_stack__ps,XAU_spot,7,2,28.6,1.01,B_FRAGILE_lowwr_profit
sp500_arima_garch_v12,SP500,arima_garch,"",6,1,16.7,1.01,B_FRAGILE_lowwr_profit
crypto_btc_xgboost__ps_v9,CRYPTO,xgboost__ps,BTC,14,1,7.1,1.03,B_FRAGILE_lowwr_profit
crypto_lightgbm_v6,CRYPTO,lightgbm,"",46,13,28.3,1.17,B_FRAGILE_lowwr_profit
crypto_lightgbm,CRYPTO,lightgbm,"",45,12,26.7,1.20,B_FRAGILE_lowwr_profit
sp500_spy_lightgbm__ps_v3,SP500,lightgbm__ps,SPY,6,1,16.7,1.23,B_FRAGILE_lowwr_profit
sp500_spy_lightgbm__ps,SP500,lightgbm__ps,SPY,6,1,16.7,1.23,B_FRAGILE_lowwr_profit
sp500_spy_lightgbm__ps_v7,SP500,lightgbm__ps,SPY,6,1,16.7,1.23,B_FRAGILE_lowwr_profit
sp500_spy_lightgbm__ps_v6,SP500,lightgbm__ps,SPY,6,1,16.7,1.23,B_FRAGILE_lowwr_profit
sp500_spy_lightgbm__ps_v9,SP500,lightgbm__ps,SPY,6,1,16.7,1.23,B_FRAGILE_lowwr_profit
crypto_lightgbm_v12,CRYPTO,lightgbm,"",33,9,27.3,1.34,B_FRAGILE_lowwr_profit
crypto_lightgbm_v11,CRYPTO,lightgbm,"",33,9,27.3,1.34,B_FRAGILE_lowwr_profit
nasdaq_avgo_sarima__ps_v3,NASDAQ,sarima__ps,AVGO,11,2,18.2,1.38,B_FRAGILE_lowwr_profit
gold_ensemble,GOLD,ensemble,"",20,2,10.0,1.40,B_FRAGILE_lowwr_profit
gold_ensemble_v7,GOLD,ensemble,"",20,2,10.0,1.40,B_FRAGILE_lowwr_profit
crypto_btc_lightgbm__ps_v3,CRYPTO,lightgbm__ps,BTC,38,10,26.3,1.45,B_FRAGILE_lowwr_profit
sp500_xgboost_v6,SP500,xgboost,"",19,5,26.3,1.47,B_FRAGILE_lowwr_profit
sp500_xgboost,SP500,xgboost,"",19,5,26.3,1.47,B_FRAGILE_lowwr_profit
